"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02741V03309","Sub Sector","UNIT","VALUE"
"EHQ10C01","Employment","20093","2009Q3","05","Regional bodies","Number","38300"
"EHQ10C01","Employment","20093","2009Q3","06","Health","Number","138200"
"EHQ10C01","Employment","20093","2009Q3","07","Semi-State companies","Number","56300"
"EHQ10C01","Employment","20093","2009Q3","09","Commercial Semi-State companies","Number","45000"
"EHQ10C01","Employment","20093","2009Q3","10","Non commercial Semi-State companies","Number","11300"
"EHQ10C01","Employment","20093","2009Q3","-","Total Public Sector including Semi State bodies","Number","409500"
"EHQ10C01","Employment","20093","2009Q3","08","Total Public Sector excluding Semi State bodies","Number","353200"
"EHQ10C01","Employment","20094","2009Q4","01","Civil service","Number","40900"
"EHQ10C01","Employment","20094","2009Q4","02","Defence","Number","10800"
"EHQ10C01","Employment","20094","2009Q4","03","Garda Siochana","Number","14800"
"EHQ10C01","Employment","20094","2009Q4","04","Education","Number","113100"
"EHQ10C01","Employment","20094","2009Q4","05","Regional bodies","Number","37700"
"EHQ10C01","Employment","20094","2009Q4","06","Health","Number","137300"
"EHQ10C01","Employment","20094","2009Q4","07","Semi-State companies","Number","55200"
"EHQ10C01","Employment","20094","2009Q4","09","Commercial Semi-State companies","Number","44200"
"EHQ10C01","Employment","20094","2009Q4","10","Non commercial Semi-State companies","Number","11000"
"EHQ10C01","Employment","20094","2009Q4","-","Total Public Sector including Semi State bodies","Number","409700"
"EHQ10C01","Employment","20094","2009Q4","08","Total Public Sector excluding Semi State bodies","Number","354500"
"EHQ10C01","Employment","20101","2010Q1","01","Civil service","Number","40100"
"EHQ10C01","Employment","20101","2010Q1","02","Defence","Number","10700"
"EHQ10C01","Employment","20101","2010Q1","03","Garda Siochana","Number","14700"
"EHQ10C01","Employment","20101","2010Q1","04","Education","Number","113800"
"EHQ10C01","Employment","20101","2010Q1","05","Regional bodies","Number","36700"
"EHQ10C01","Employment","20101","2010Q1","06","Health","Number","137400"
"EHQ10C01","Employment","20101","2010Q1","07","Semi-State companies","Number","53600"
"EHQ10C01","Employment","20101","2010Q1","09","Commercial Semi-State companies","Number","42200"
"EHQ10C01","Employment","20101","2010Q1","10","Non commercial Semi-State companies","Number","11400"
"EHQ10C01","Employment","20101","2010Q1","-","Total Public Sector including Semi State bodies","Number","406800"
"EHQ10C01","Employment","20101","2010Q1","08","Total Public Sector excluding Semi State bodies","Number","353200"
"EHQ10C01","Employment","20102","2010Q2","01","Civil service","Number","40100"
"EHQ10C01","Employment","20102","2010Q2","02","Defence","Number","10600"
"EHQ10C01","Employment","20102","2010Q2","03","Garda Siochana","Number","14600"
"EHQ10C01","Employment","20102","2010Q2","04","Education","Number","115800"
"EHQ10C01","Employment","20102","2010Q2","05","Regional bodies","Number","36500"
"EHQ10C01","Employment","20102","2010Q2","06","Health","Number","136900"
"EHQ10C01","Employment","20102","2010Q2","07","Semi-State companies","Number","55100"
"EHQ10C01","Employment","20102","2010Q2","09","Commercial Semi-State companies","Number","43700"
"EHQ10C01","Employment","20102","2010Q2","10","Non commercial Semi-State companies","Number","11300"
"EHQ10C01","Employment","20102","2010Q2","-","Total Public Sector including Semi State bodies","Number","409500"
"EHQ10C01","Employment","20102","2010Q2","08","Total Public Sector excluding Semi State bodies","Number","354400"
"EHQ10C01","Employment","20103","2010Q3","01","Civil service","Number","40000"
"EHQ10C01","Employment","20103","2010Q3","02","Defence","Number","10400"
"EHQ10C01","Employment","20103","2010Q3","03","Garda Siochana","Number","14600"
"EHQ10C01","Employment","20103","2010Q3","04","Education","Number","111300"
"EHQ10C01","Employment","20103","2010Q3","05","Regional bodies","Number","37300"
"EHQ10C01","Employment","20103","2010Q3","06","Health","Number","135900"
"EHQ10C01","Employment","20103","2010Q3","07","Semi-State companies","Number","55000"
"EHQ10C01","Employment","20103","2010Q3","09","Commercial Semi-State companies","Number","43800"
"EHQ10C01","Employment","20103","2010Q3","10","Non commercial Semi-State companies","Number","11200"
"EHQ10C01","Employment","20103","2010Q3","-","Total Public Sector including Semi State bodies","Number","404600"
"EHQ10C01","Employment","20103","2010Q3","08","Total Public Sector excluding Semi State bodies","Number","349600"
"EHQ10C01","Employment","20104","2010Q4","01","Civil service","Number","39600"
"EHQ10C01","Employment","20104","2010Q4","02","Defence","Number","10300"
"EHQ10C01","Employment","20104","2010Q4","03","Garda Siochana","Number","14400"
"EHQ10C01","Employment","20104","2010Q4","04","Education","Number","115000"
"EHQ10C01","Employment","20104","2010Q4","05","Regional bodies","Number","35200"
"EHQ10C01","Employment","20104","2010Q4","06","Health","Number","134200"
"EHQ10C01","Employment","20104","2010Q4","07","Semi-State companies","Number","55300"
"EHQ10C01","Employment","20104","2010Q4","09","Commercial Semi-State companies","Number","44200"
"EHQ10C01","Employment","20104","2010Q4","10","Non commercial Semi-State companies","Number","11100"
"EHQ10C01","Employment","20104","2010Q4","-","Total Public Sector including Semi State bodies","Number","404100"
"EHQ10C01","Employment","20104","2010Q4","08","Total Public Sector excluding Semi State bodies","Number","348700"
"EHQ10C01","Employment","20111","2011Q1","01","Civil service","Number","44500"
"EHQ10C01","Employment","20111","2011Q1","02","Defence","Number","10300"
"EHQ10C01","Employment","20111","2011Q1","03","Garda Siochana","Number","14300"
"EHQ10C01","Employment","20111","2011Q1","04","Education","Number","117700"
"EHQ10C01","Employment","20111","2011Q1","05","Regional bodies","Number","34600"
"EHQ10C01","Employment","20111","2011Q1","06","Health","Number","132900"
"EHQ10C01","Employment","20111","2011Q1","07","Semi-State companies","Number","55100"
"EHQ10C01","Employment","20111","2011Q1","09","Commercial Semi-State companies","Number","44100"
"EHQ10C01","Employment","20111","2011Q1","10","Non commercial Semi-State companies","Number","11100"
"EHQ10C01","Employment","20111","2011Q1","-","Total Public Sector including Semi State bodies","Number","409400"
"EHQ10C01","Employment","20111","2011Q1","08","Total Public Sector excluding Semi State bodies","Number","354300"
"EHQ10C01","Employment","20112","2011Q2","01","Civil service","Number","45000"
"EHQ10C01","Employment","20112","2011Q2","02","Defence","Number","10300"
"EHQ10C01","Employment","20112","2011Q2","03","Garda Siochana","Number","14200"
"EHQ10C01","Employment","20112","2011Q2","04","Education","Number","117500"
"EHQ10C01","Employment","20112","2011Q2","05","Regional bodies","Number","34800"
"EHQ10C01","Employment","20112","2011Q2","06","Health","Number","132000"
"EHQ10C01","Employment","20112","2011Q2","07","Semi-State companies","Number","53500"
"EHQ10C01","Employment","20112","2011Q2","09","Commercial Semi-State companies","Number","42900"
"EHQ10C01","Employment","20112","2011Q2","10","Non commercial Semi-State companies","Number","10600"
"EHQ10C01","Employment","20112","2011Q2","-","Total Public Sector including Semi State bodies","Number","407200"
"EHQ10C01","Employment","20112","2011Q2","08","Total Public Sector excluding Semi State bodies","Number","353700"
"EHQ10C01","Employment","20113","2011Q3","01","Civil service","Number","39900"
"EHQ10C01","Employment","20113","2011Q3","02","Defence","Number","10200"
"EHQ10C01","Employment","20113","2011Q3","03","Garda Siochana","Number","14100"
"EHQ10C01","Employment","20113","2011Q3","04","Education","Number","111100"
"EHQ10C01","Employment","20113","2011Q3","05","Regional bodies","Number","35100"
"EHQ10C01","Employment","20113","2011Q3","06","Health","Number","131100"
"EHQ10C01","Employment","20113","2011Q3","07","Semi-State companies","Number","53300"
"EHQ10C01","Employment","20113","2011Q3","09","Commercial Semi-State companies","Number","42300"
"EHQ10C01","Employment","20113","2011Q3","10","Non commercial Semi-State companies","Number","11000"
"EHQ10C01","Employment","20113","2011Q3","-","Total Public Sector including Semi State bodies","Number","394700"
"EHQ10C01","Employment","20113","2011Q3","08","Total Public Sector excluding Semi State bodies","Number","341400"
"EHQ10C01","Employment","20114","2011Q4","01","Civil service","Number","39700"
"EHQ10C01","Employment","20114","2011Q4","02","Defence","Number","10100"
"EHQ10C01","Employment","20114","2011Q4","03","Garda Siochana","Number","13900"
"EHQ10C01","Employment","20114","2011Q4","04","Education","Number","111300"
"EHQ10C01","Employment","20114","2011Q4","05","Regional bodies","Number","35000"
"EHQ10C01","Employment","20114","2011Q4","06","Health","Number","128300"
"EHQ10C01","Employment","20114","2011Q4","07","Semi-State companies","Number","53300"
"EHQ10C01","Employment","20114","2011Q4","09","Commercial Semi-State companies","Number","42600"
"EHQ10C01","Employment","20114","2011Q4","10","Non commercial Semi-State companies","Number","10800"
"EHQ10C01","Employment","20114","2011Q4","-","Total Public Sector including Semi State bodies","Number","391600"
"EHQ10C01","Employment","20114","2011Q4","08","Total Public Sector excluding Semi State bodies","Number","338300"
"EHQ10C01","Employment","20121","2012Q1","01","Civil service","Number","39700"
"EHQ10C01","Employment","20121","2012Q1","02","Defence","Number","9800"
"EHQ10C01","Employment","20121","2012Q1","03","Garda Siochana","Number","13700"
"EHQ10C01","Employment","20121","2012Q1","04","Education","Number","111900"
"EHQ10C01","Employment","20121","2012Q1","05","Regional bodies","Number","33900"
"EHQ10C01","Employment","20121","2012Q1","06","Health","Number","128800"
"EHQ10C01","Employment","20121","2012Q1","07","Semi-State companies","Number","51400"
"EHQ10C01","Employment","20121","2012Q1","09","Commercial Semi-State companies","Number","41300"
"EHQ10C01","Employment","20121","2012Q1","10","Non commercial Semi-State companies","Number","10100"
"EHQ10C01","Employment","20121","2012Q1","-","Total Public Sector including Semi State bodies","Number","389200"
"EHQ10C01","Employment","20121","2012Q1","08","Total Public Sector excluding Semi State bodies","Number","337700"
"EHQ10C01","Employment","20122","2012Q2","01","Civil service","Number","39300"
"EHQ10C01","Employment","20122","2012Q2","02","Defence","Number","9500"
"EHQ10C01","Employment","20122","2012Q2","03","Garda Siochana","Number","13500"
"EHQ10C01","Employment","20122","2012Q2","04","Education","Number","109400"
"EHQ10C01","Employment","20122","2012Q2","05","Regional bodies","Number","34100"
"EHQ10C01","Employment","20122","2012Q2","06","Health","Number","126100"
"EHQ10C01","Employment","20122","2012Q2","07","Semi-State companies","Number","51500"
"EHQ10C01","Employment","20122","2012Q2","09","Commercial Semi-State companies","Number","41200"
"EHQ10C01","Employment","20122","2012Q2","10","Non commercial Semi-State companies","Number","10300"
"EHQ10C01","Employment","20122","2012Q2","-","Total Public Sector including Semi State bodies","Number","383400"
"EHQ10C01","Employment","20122","2012Q2","08","Total Public Sector excluding Semi State bodies","Number","331900"
"EHQ10C01","Employment","20123","2012Q3","01","Civil service","Number","39500"
"EHQ10C01","Employment","20123","2012Q3","02","Defence","Number","9400"
"EHQ10C01","Employment","20123","2012Q3","03","Garda Siochana","Number","13400"
"EHQ10C01","Employment","20123","2012Q3","04","Education","Number","105800"
"EHQ10C01","Employment","20123","2012Q3","05","Regional bodies","Number","34400"
"EHQ10C01","Employment","20123","2012Q3","06","Health","Number","125800"
"EHQ10C01","Employment","20123","2012Q3","07","Semi-State companies","Number","51200"
"EHQ10C01","Employment","20123","2012Q3","09","Commercial Semi-State companies","Number","41100"
"EHQ10C01","Employment","20123","2012Q3","10","Non commercial Semi-State companies","Number","10100"
"EHQ10C01","Employment","20123","2012Q3","-","Total Public Sector including Semi State bodies","Number","379600"
"EHQ10C01","Employment","20123","2012Q3","08","Total Public Sector excluding Semi State bodies","Number","328400"
"EHQ10C01","Employment","20124","2012Q4","01","Civil service","Number","39400"
"EHQ10C01","Employment","20124","2012Q4","02","Defence","Number","9600"
"EHQ10C01","Employment","20124","2012Q4","03","Garda Siochana","Number","13400"
"EHQ10C01","Employment","20124","2012Q4","04","Education","Number","111300"
"EHQ10C01","Employment","20124","2012Q4","05","Regional bodies","Number","34000"
"EHQ10C01","Employment","20124","2012Q4","06","Health","Number","123200"
"EHQ10C01","Employment","20124","2012Q4","07","Semi-State companies","Number","50900"
"EHQ10C01","Employment","20124","2012Q4","09","Commercial Semi-State companies","Number","40600"
"EHQ10C01","Employment","20124","2012Q4","10","Non commercial Semi-State companies","Number","10300"
"EHQ10C01","Employment","20124","2012Q4","-","Total Public Sector including Semi State bodies","Number","381800"
"EHQ10C01","Employment","20124","2012Q4","08","Total Public Sector excluding Semi State bodies","Number","330900"
"EHQ10C01","Employment","20131","2013Q1","01","Civil service","Number","39200"
"EHQ10C01","Employment","20131","2013Q1","02","Defence","Number","9800"
"EHQ10C01","Employment","20131","2013Q1","03","Garda Siochana","Number","13300"
"EHQ10C01","Employment","20131","2013Q1","04","Education","Number","110300"
"EHQ10C01","Employment","20131","2013Q1","05","Regional bodies","Number","32100"
"EHQ10C01","Employment","20131","2013Q1","06","Health","Number","123600"
"EHQ10C01","Employment","20131","2013Q1","07","Semi-State companies","Number","49700"
"EHQ10C01","Employment","20131","2013Q1","09","Commercial Semi-State companies","Number","39700"
"EHQ10C01","Employment","20131","2013Q1","10","Non commercial Semi-State companies","Number","9900"
"EHQ10C01","Employment","20131","2013Q1","-","Total Public Sector including Semi State bodies","Number","378000"
"EHQ10C01","Employment","20131","2013Q1","08","Total Public Sector excluding Semi State bodies","Number","328300"
"EHQ10C01","Employment","20132","2013Q2","01","Civil service","Number","39400"
"EHQ10C01","Employment","20132","2013Q2","02","Defence","Number","9700"
"EHQ10C01","Employment","20132","2013Q2","03","Garda Siochana","Number","13200"
"EHQ10C01","Employment","20132","2013Q2","04","Education","Number","111000"
"EHQ10C01","Employment","20132","2013Q2","05","Regional bodies","Number","32100"
"EHQ10C01","Employment","20132","2013Q2","06","Health","Number","123600"
"EHQ10C01","Employment","20132","2013Q2","07","Semi-State companies","Number","49200"
"EHQ10C01","Employment","20132","2013Q2","09","Commercial Semi-State companies","Number","39400"
"EHQ10C01","Employment","20132","2013Q2","10","Non commercial Semi-State companies","Number","9700"
"EHQ10C01","Employment","20132","2013Q2","-","Total Public Sector including Semi State bodies","Number","378200"
"EHQ10C01","Employment","20132","2013Q2","08","Total Public Sector excluding Semi State bodies","Number","329100"
"EHQ10C01","Employment","20133","2013Q3","01","Civil service","Number","39300"
"EHQ10C01","Employment","20133","2013Q3","02","Defence","Number","9600"
"EHQ10C01","Employment","20133","2013Q3","03","Garda Siochana","Number","13100"
"EHQ10C01","Employment","20133","2013Q3","04","Education","Number","107900"
"EHQ10C01","Employment","20133","2013Q3","05","Regional bodies","Number","33500"
"EHQ10C01","Employment","20133","2013Q3","06","Health","Number","123600"
"EHQ10C01","Employment","20133","2013Q3","07","Semi-State companies","Number","49300"
"EHQ10C01","Employment","20133","2013Q3","09","Commercial Semi-State companies","Number","39600"
"EHQ10C01","Employment","20133","2013Q3","10","Non commercial Semi-State companies","Number","9700"
"EHQ10C01","Employment","20133","2013Q3","-","Total Public Sector including Semi State bodies","Number","376200"
"EHQ10C01","Employment","20133","2013Q3","08","Total Public Sector excluding Semi State bodies","Number","326900"
"EHQ10C01","Employment","20134","2013Q4","01","Civil service","Number","38900"
"EHQ10C01","Employment","20134","2013Q4","02","Defence","Number","9700"
"EHQ10C01","Employment","20134","2013Q4","03","Garda Siochana","Number","13000"
"EHQ10C01","Employment","20134","2013Q4","04","Education","Number","111000"
"EHQ10C01","Employment","20134","2013Q4","05","Regional bodies","Number","33000"
"EHQ10C01","Employment","20134","2013Q4","06","Health","Number","122000"
"EHQ10C01","Employment","20134","2013Q4","07","Semi-State companies","Number","48900"
"EHQ10C01","Employment","20134","2013Q4","09","Commercial Semi-State companies","Number","39200"
"EHQ10C01","Employment","20134","2013Q4","10","Non commercial Semi-State companies","Number","9600"
"EHQ10C01","Employment","20134","2013Q4","-","Total Public Sector including Semi State bodies","Number","376500"
"EHQ10C01","Employment","20134","2013Q4","08","Total Public Sector excluding Semi State bodies","Number","327700"
"EHQ10C01","Employment","20141","2014Q1","01","Civil service","Number","38700"
"EHQ10C01","Employment","20141","2014Q1","02","Defence","Number","9700"
"EHQ10C01","Employment","20141","2014Q1","03","Garda Siochana","Number","13000"
"EHQ10C01","Employment","20141","2014Q1","04","Education","Number","111200"
"EHQ10C01","Employment","20141","2014Q1","05","Regional bodies","Number","33000"
"EHQ10C01","Employment","20141","2014Q1","06","Health","Number","118700"
"EHQ10C01","Employment","20141","2014Q1","07","Semi-State companies","Number","51200"
"EHQ10C01","Employment","20141","2014Q1","09","Commercial Semi-State companies","Number","38600"
"EHQ10C01","Employment","20141","2014Q1","10","Non commercial Semi-State companies","Number","12600"
"EHQ10C01","Employment","20141","2014Q1","-","Total Public Sector including Semi State bodies","Number","375600"
"EHQ10C01","Employment","20141","2014Q1","08","Total Public Sector excluding Semi State bodies","Number","324400"
"EHQ10C01","Employment","20142","2014Q2","01","Civil service","Number","38800"
"EHQ10C01","Employment","20142","2014Q2","02","Defence","Number","9600"
"EHQ10C01","Employment","20142","2014Q2","03","Garda Siochana","Number","12900"
"EHQ10C01","Employment","20142","2014Q2","04","Education","Number","110100"
"EHQ10C01","Employment","20142","2014Q2","05","Regional bodies","Number","32700"
"EHQ10C01","Employment","20142","2014Q2","06","Health","Number","118400"
"EHQ10C01","Employment","20142","2014Q2","07","Semi-State companies","Number","51400"
"EHQ10C01","Employment","20142","2014Q2","09","Commercial Semi-State companies","Number","38800"
"EHQ10C01","Employment","20142","2014Q2","10","Non commercial Semi-State companies","Number","12700"
"EHQ10C01","Employment","20142","2014Q2","-","Total Public Sector including Semi State bodies","Number","373900"
"EHQ10C01","Employment","20142","2014Q2","08","Total Public Sector excluding Semi State bodies","Number","322500"
"EHQ10C01","Employment","20143","2014Q3","01","Civil service","Number","38500"
"EHQ10C01","Employment","20143","2014Q3","02","Defence","Number","9600"
"EHQ10C01","Employment","20143","2014Q3","03","Garda Siochana","Number","12800"
"EHQ10C01","Employment","20143","2014Q3","04","Education","Number","107700"
"EHQ10C01","Employment","20143","2014Q3","05","Regional bodies","Number","32500"
"EHQ10C01","Employment","20143","2014Q3","06","Health","Number","119000"
"EHQ10C01","Employment","20143","2014Q3","07","Semi-State companies","Number","51700"
"EHQ10C01","Employment","20143","2014Q3","09","Commercial Semi-State companies","Number","39200"
"EHQ10C01","Employment","20143","2014Q3","10","Non commercial Semi-State companies","Number","12500"
"EHQ10C01","Employment","20143","2014Q3","-","Total Public Sector including Semi State bodies","Number","371900"
"EHQ10C01","Employment","20143","2014Q3","08","Total Public Sector excluding Semi State bodies","Number","320200"
"EHQ10C01","Employment","20144","2014Q4","01","Civil service","Number","38200"
"EHQ10C01","Employment","20144","2014Q4","02","Defence","Number","9800"
"EHQ10C01","Employment","20144","2014Q4","03","Garda Siochana","Number","12800"
"EHQ10C01","Employment","20144","2014Q4","04","Education","Number","110800"
"EHQ10C01","Employment","20144","2014Q4","05","Regional bodies","Number","32200"
"EHQ10C01","Employment","20144","2014Q4","06","Health","Number","118600"
"EHQ10C01","Employment","20144","2014Q4","07","Semi-State companies","Number","51700"
"EHQ10C01","Employment","20144","2014Q4","09","Commercial Semi-State companies","Number","39300"
"EHQ10C01","Employment","20144","2014Q4","10","Non commercial Semi-State companies","Number","12400"
"EHQ10C01","Employment","20144","2014Q4","-","Total Public Sector including Semi State bodies","Number","374000"
"EHQ10C01","Employment","20144","2014Q4","08","Total Public Sector excluding Semi State bodies","Number","322300"
"EHQ10C01","Employment","20151","2015Q1","01","Civil service","Number","38100"
"EHQ10C01","Employment","20151","2015Q1","02","Defence","Number","9700"
"EHQ10C01","Employment","20151","2015Q1","03","Garda Siochana","Number","12800"
"EHQ10C01","Employment","20151","2015Q1","04","Education","Number","110900"
"EHQ10C01","Employment","20151","2015Q1","05","Regional bodies","Number","32000"
"EHQ10C01","Employment","20151","2015Q1","06","Health","Number","119600"
"EHQ10C01","Employment","20151","2015Q1","07","Semi-State companies","Number","51400"
"EHQ10C01","Employment","20151","2015Q1","09","Commercial Semi-State companies","Number","39200"
"EHQ10C01","Employment","20151","2015Q1","10","Non commercial Semi-State companies","Number","12200"
"EHQ10C01","Employment","20151","2015Q1","-","Total Public Sector including Semi State bodies","Number","374500"
"EHQ10C01","Employment","20151","2015Q1","08","Total Public Sector excluding Semi State bodies","Number","323100"
"EHQ10C01","Employment","20152","2015Q2","01","Civil service","Number","38300"
"EHQ10C01","Employment","20152","2015Q2","02","Defence","Number","9600"
"EHQ10C01","Employment","20152","2015Q2","03","Garda Siochana","Number","12700"
"EHQ10C01","Employment","20152","2015Q2","04","Education","Number","111500"
"EHQ10C01","Employment","20152","2015Q2","05","Regional bodies","Number","33000"
"EHQ10C01","Employment","20152","2015Q2","06","Health","Number","120700"
"EHQ10C01","Employment","20152","2015Q2","07","Semi-State companies","Number","50400"
"EHQ10C01","Employment","20152","2015Q2","09","Commercial Semi-State companies","Number","38100"
"EHQ10C01","Employment","20152","2015Q2","10","Non commercial Semi-State companies","Number","12300"
"EHQ10C01","Employment","20152","2015Q2","-","Total Public Sector including Semi State bodies","Number","376200"
"EHQ10C01","Employment","20152","2015Q2","08","Total Public Sector excluding Semi State bodies","Number","325800"
"EHQ10C01","Employment","20153","2015Q3","01","Civil service","Number","38300"
"EHQ10C01","Employment","20153","2015Q3","02","Defence","Number","9500"
"EHQ10C01","Employment","20153","2015Q3","03","Garda Siochana","Number","12700"
"EHQ10C01","Employment","20153","2015Q3","04","Education","Number","108200"
"EHQ10C01","Employment","20153","2015Q3","05","Regional bodies","Number","33000"
"EHQ10C01","Employment","20153","2015Q3","06","Health","Number","121900"
"EHQ10C01","Employment","20153","2015Q3","07","Semi-State companies","Number","52700"
"EHQ10C01","Employment","20153","2015Q3","09","Commercial Semi-State companies","Number","40300"
"EHQ10C01","Employment","20153","2015Q3","10","Non commercial Semi-State companies","Number","12400"
"EHQ10C01","Employment","20153","2015Q3","-","Total Public Sector including Semi State bodies","Number","376300"
"EHQ10C01","Employment","20153","2015Q3","08","Total Public Sector excluding Semi State bodies","Number","323600"
"EHQ10C01","Employment","20154","2015Q4","01","Civil service","Number","38100"
"EHQ10C01","Employment","20154","2015Q4","02","Defence","Number","9500"
"EHQ10C01","Employment","20154","2015Q4","03","Garda Siochana","Number","12800"
"EHQ10C01","Employment","20154","2015Q4","04","Education","Number","111700"
"EHQ10C01","Employment","20154","2015Q4","05","Regional bodies","Number","32900"
"EHQ10C01","Employment","20154","2015Q4","06","Health","Number","122200"
"EHQ10C01","Employment","20154","2015Q4","07","Semi-State companies","Number","52400"
"EHQ10C01","Employment","20154","2015Q4","09","Commercial Semi-State companies","Number","40400"
